time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2024-08-07 08:17:00,57102.42,57069.71,57094.36,10.67,608847.95,57069.71,direct,
2024-08-07 08:18:00,57070.0,56975.22,57069.71,20.09,1145463.26,56980.08,direct,
2024-08-07 08:19:00,57014.37,56969.42,56980.08,7.485,426538.16,57013.64,direct,
2024-08-07 08:20:00,57111.0,57003.42,57013.64,51.17,2919373.09,57108.85,direct,
2024-08-07 08:21:00,57132.8,57108.85,57108.85,16.74,956276.16,57118.3,direct,
2024-08-07 08:22:00,57125.64,57090.86,57118.3,11.14,635928.01,57090.86,direct,
2024-08-07 08:23:00,57090.86,57005.82,57090.86,17.61,1003839.52,57016.6,direct,
2024-08-07 08:24:00,57105.64,57016.6,57016.6,24.97,1425081.78,57102.64,direct,
2024-08-07 08:25:00,57118.66,57062.23,57102.64,28.28,1614241.97,57101.13,direct,
2024-08-07 08:26:00,57108.06,57084.56,57101.13,11.4,651028.64,57107.89,direct,
2024-08-07 08:27:00,57143.41,57097.98,57107.89,49.4,2822144.07,57143.41,direct,
2024-08-07 08:28:00,57175.58,57128.62,57143.41,39.78,2273437.9,57160.49,direct,
2024-08-07 08:29:00,57168.62,57140.53,57160.49,12.48,713236.26,57152.05,direct,
2024-08-07 08:30:00,57160.93,57130.1,57152.05,26.12,1492818.66,57153.83,direct,
2024-08-07 08:31:00,57166.67,57142.64,57153.83,13.5,771698.09,57161.03,direct,
2024-08-07 08:32:00,57175.28,57111.33,57161.03,15.45,882579.73,57112.3,direct,
2024-08-07 08:33:00,57161.32,57090.78,57112.3,42.54,2430188.89,57138.96,direct,
2024-08-07 08:34:00,57141.03,57121.26,57138.96,9.409,537578.22,57136.54,direct,
2024-08-07 08:35:00,57149.9,57113.14,57136.54,9.774,558445.02,57113.14,direct,
2024-08-07 08:36:00,57152.24,57105.93,57113.14,37.01,2114180.66,57129.38,direct,
2024-08-07 08:37:00,57144.8,57103.56,57129.38,21.59,1233540.67,57138.05,direct,
2024-08-07 08:38:00,57204.8,57133.99,57138.05,19.41,1109573.51,57203.35,direct,
2024-08-07 08:39:00,57203.35,57173.29,57203.35,8.82,504450.83,57173.29,direct,
2024-08-07 08:40:00,57208.72,57167.75,57173.29,13.16,752501.5,57205.49,direct,
2024-08-07 08:41:00,57232.48,57201.24,57205.49,15.74,900509.11,57208.6,direct,
2024-08-07 08:42:00,57209.34,57119.67,57208.6,32.43,1854082.92,57119.71,direct,
2024-08-07 08:43:00,57119.71,57077.6,57119.71,11.76,671330.37,57085.99,direct,
2024-08-07 08:44:00,57085.99,57059.9,57085.99,9.799,559538.64,57067.37,direct,
2024-08-07 08:45:00,57097.6,57067.37,57067.37,15.93,909418.66,57087.74,direct,
2024-08-07 08:46:00,57191.61,57085.87,57087.74,31.09,1776506.59,57191.61,direct,
2024-08-07 08:47:00,57243.91,57186.74,57191.61,28.44,1627194.11,57235.96,direct,
2024-08-07 08:48:00,57246.28,57230.22,57235.96,13.58,777246.79,57232.79,direct,
2024-08-07 08:49:00,57287.85,57232.79,57232.79,20.69,1184737.57,57263.29,direct,
2024-08-07 08:50:00,57422.46,57223.23,57263.29,95.76,5491627.74,57409.64,direct,
2024-08-07 08:51:00,57465.54,57356.69,57409.64,68.18,3914942.45,57447.68,direct,
2024-08-07 08:52:00,57450.03,57382.98,57447.68,15.61,896155.32,57389.95,direct,
2024-08-07 08:53:00,57391.04,57333.64,57389.95,35.27,2023501.91,57337.8,direct,
2024-08-07 08:54:00,57337.8,57282.34,57337.8,28.9,1657408.33,57292.99,direct,
2024-08-07 08:55:00,57345.69,57290.9,57292.99,16.21,929621.95,57340.06,direct,
2024-08-07 08:56:00,57343.41,57323.09,57340.06,12.3,705422.45,57342.41,direct,
2024-08-07 08:57:00,57363.96,57325.15,57342.41,12.46,714678.82,57355.88,direct,
2024-08-07 08:58:00,57386.26,57328.7,57355.88,12.58,721503.96,57370.83,direct,
2024-08-07 08:59:00,57399.42,57359.24,57370.83,12.69,728115.77,57384.26,direct,
2024-08-07 09:00:00,57387.49,57340.48,57384.26,18.57,1065833.63,57350.16,direct,
2024-08-07 09:01:00,57397.74,57346.7,57350.16,27.65,1586448.96,57397.35,direct,
2024-08-07 09:02:00,57532.07,57389.92,57397.35,102.7,5904328.38,57527.74,direct,
2024-08-07 09:03:00,57697.71,57465.67,57527.74,155.18,8937680.01,57625.35,direct,
2024-08-07 09:04:00,57664.46,57474.64,57625.35,42.77,2463542.13,57479.12,direct,
2024-08-07 09:05:00,57505.29,57416.91,57479.12,26.69,1533497.47,57464.25,direct,
2024-08-07 09:06:00,57552.69,57464.17,57464.25,21.17,1217420.0,57552.69,direct,
2024-08-07 09:07:00,57553.95,57470.94,57552.69,14.74,847613.73,57490.16,direct,
2024-08-07 09:08:00,57493.09,57397.0,57490.16,21.16,1215589.52,57401.09,direct,
2024-08-07 09:09:00,57401.09,57329.57,57401.09,25.62,1469684.27,57334.92,direct,
2024-08-07 09:10:00,57353.5,57224.7,57334.92,78.66,4506550.39,57250.8,direct,
2024-08-07 09:11:00,57308.12,57229.59,57250.8,29.6,1695278.34,57287.3,direct,
2024-08-07 09:12:00,57457.81,57287.3,57287.3,38.71,2222056.21,57455.02,direct,
2024-08-07 09:13:00,57459.15,57356.45,57455.02,12.88,739130.59,57365.01,direct,
2024-08-07 09:14:00,57392.57,57359.5,57365.01,11.95,685545.63,57384.13,direct,
2024-08-07 09:15:00,57395.2,57318.33,57384.13,24.05,1379617.22,57369.78,direct,
2024-08-07 09:16:00,57382.86,57335.86,57369.78,20.65,1184458.56,57343.64,direct,
